BOM ID,TYPE,PHX Class,Theoretical QTY,Location,Cycle Count,Date Counted,UOM,Theo' x Actual Variance,Past 30 MO (metric unit),Past 30 FO (metric unit),Manufactured-Fulfilled,Used for MFG After Actual (-),Conversion,Received QTY After Actual Count (From Receiving Logs Only) (+),Ranking,Current Internal lot number,Used in IHF/ Shipstation After Count,,,Theo Count Static,Actual Count,Date Counted,WH Remarks,Theoretical QTY,Variance,Random Count,Date Counted,Subtype
RM-PWD-Wheat-Grass-Organic,Powder,C,497.14,,497.14,10/04/24,Kg,0.00%,0,0,0,0,1,0,8451,Whe-001,0,,,,497.14,10/04/24,,497.14,0.00%,497.14,10/04/24,Powders
Ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RM-PURIFIED-WATER,Ingredient,C,402.46,,405,10/04/24,Gal,0.63%,3109.71,3016.15,93.56,9.61,0.26417,0,1523,,0,,,,405,10/04/24,,402.461,0.63%,405,10/04/24,Ingredients
RM-PWD-Potassium-Sorbate,Powder,,7.82,,7.82,10/04/24,Lbs,0.00%,2.38,2.37,0.01,0,2.20462,0,56,0,0,,,,7.82,10/04/24,,7.82,0.00%,70,8/19/2024,Ingredients
RM-PWD-Potassium-Sorbate-Granulated,Powder,,30.81,,30.81,10/04/24,lbs,0.00%,0,0,0,0,2.20462,0,0,,0,,,,30.81,10/04/24,,30.81,0.00%,30.81,10/04/24,Ingredients
RM-PWD-SALICYLIC-ACID,Powder,B,73.91,,74.91,10/04/24,Lbs,1.33%,4.06,4.06,0,0,2.20462,0,373,0,1,,,,74.91,10/04/24,,73.91,1.33%,27.1,8/19/2024,Ingredients
RM-PWD-CitricAcid,Powder,,108.38,,108.38,10/04/24,lbs,0.00%,2.28,2.27,0.01,0,2.20462,0,478,0,0,,,,108.38,10/04/24,,108.38,0.00%,108.38,10/04/24,Ingredients
RM-MENTHOL,Ingredient,B,10.68,,10.68,10/04/24,Lbs,0.00%,1.6,1.6,0,0,2.20462,0,70,,0,,,,10.68,10/04/24,,10.68,0.00%,10.68,10/04/24,Ingredients
RM-PWD-DL-Panthenol,Powder,C,25.1,F,26.45,10/04/24,oz,5.11%,0.04,0.04,0,0.04,33.814,0,2,0,0,,,,26.45,10/04/24,,25.0974,5.11%,26.45,10/04/24,Ingredients
RM-PWD-Silica,Powder,C,0.86,,0.9,10/04/24,Lbs,4.90%,0.02,0.02,0,0.02,2.20462,0,75,0,0,,,,0.9,10/04/24,,0.8559,4.90%,0.9,10/04/24,Ingredients
RM-Hydrolized-Keratin,Ingredient,C,13.42,,13.62,10/04/24,Lbs,1.46%,0.09,0.09,0,0.09,2.20462,0,146,,0,,,,13.62,10/04/24,,13.4216,1.46%,13.62,10/04/24,Ingredients
RM-Hydrolyzed-Silk-Protein,Ingredient,C,26.9,,27,10/04/24,Lbs,0.37%,0.05,0.05,0,0.05,2.20462,0,61,,0,,,,27,10/04/24,,26.9008,0.37%,27,10/04/24,Ingredients
RM-Aloe-Vera-Juice,Ingredient,C,42.93,,43,10/04/24,Gal,0.15%,39.11,39.11,0,0.25,0.26417,0,705,,0,,,,43,10/04/24,,42.934,0.15%,30,8/19/2024,Ingredients
RM-Witch-Hazel-Distillate,Ingredient,C,19.26,,20,10/04/24,Gal,3.70%,48.03,43.48,4.54,2.8,0.26417,0,1112,,0,,,,20,10/04/24,,19.2603,3.70%,35,8/19/2024,Ingredients
RM-Polysorbate-20,Ingredient,C,307.09,,307.42,10/04/24,lbs,0.11%,7.75,6.93,0.83,0.15,2.20462,0,836,,0,,,,307.42,10/04/24,,307.0893,0.11%,150,8/19/2024,Ingredients
RM-Polysorbate-80,Ingredient,PLC-2024,68.99,,68.99,10/04/24,lbs,0.00%,0,0,0,0,2.20462,0,165,,0,,,,68.99,10/04/24,,68.99,0.00%,50,8/19/2024,Ingredients
RM-PWD-Organic-Citric-Acid,Ingredient,PLC-2024,5,,5,10/04/24,lbs,0.00%,0,0,0,0,2.20462,0,108,,0,,,,5,10/04/24,,5,0.00%,5,10/04/24,Ingredients
RM-PWD-Organic-Sugar-Cane-Alcohol-190,Ingredient,PLC-2024,0,,0,10/04/24,Gal,0.00%,0,0,0,0,0.26417,0,0,,0,,,,0,10/04/24,,0,0.00%,0,10/04/24,Ingredients
Stevia Flavors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RM-PWD-Stevia-Flavor-Toffee,Ingredient,C,160.54,,160.54,10/04/24,oz,0.00%,0,0,0,0,33.814,0,1219,,0,,,,160.54,10/04/24,,160.54,0.00%,160.54,10/04/24,Stevia Flavors
RM-PWD-Stevia-Flavor-Caramel,Ingredient,C,252.43,,252.43,10/04/24,oz,0.00%,0,0,0,0,33.814,0,1917,,0,,,,252.43,10/04/24,,252.43,0.00%,252.43,10/04/24,Stevia Flavors
RM-PWD-Stevia-Flavor-Vanilla,Ingredient,,190.54,,190.54,10/04/24,oz,0.00%,0,0,0,0,33.814,0,1447,,0,,,,190.54,10/04/24,,190.54,0.00%,190.54,10/04/24,Stevia Flavors
RM-PWD-Stevia-Flavor-Chocolate,Ingredient,,126.54,,126.54,10/04/24,oz,0.00%,0,0,0,0,33.814,0,961,,0,,,,126.54,10/04/24,,126.54,0.00%,126.54,10/04/24,Stevia Flavors
Essential Oils,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RM-TA-EUCALYPTUS-ESSENTIAL-OIL-TMP,Ingredient,B,39.59,,39.59,10/04/24,Lbs,0.00%,2.26,2.26,0.01,0,2.20462,0,314,,0,,,,39.59,10/04/24,,39.59,0.00%,6,8/19/2024,Essential Oils
RM-TA-TEA-TREE-ESSENTIAL-OIL-TMP,Ingredient,B,30.46,,30.46,10/04/24,Lbs,0.00%,2.26,2.26,0.01,0,2.20462,0,461,,0,,,,30.46,10/04/24,,30.46,0.00%,5,8/19/2024,Essential Oils
RM-TA-PEPPERMINT-ESSENTIAL-OIL-TMP,Ingredient,B,25.63,,25.63,10/04/24,Lbs,0.00%,2.17,2.17,0,0,2.20462,0,375,,0,,,,25.63,10/04/24,,25.63,0.00%,15,8/19/2024,Essential Oils
RM-TA-LEMON-ESSENTIAL-OIL-TMP,Ingredient,C,47.17,,47.19,10/04/24,Lbs,0.05%,0.01,0.01,0,0.01,2.20462,0,1653,,0,,,,47.19,10/04/24,,47.168,0.05%,47.19,10/04/24,Essential Oils
RM-TA-LAVENDER-ESSENTIAL-OIL-TMP,Ingredient,C,7.16,,7.16,10/04/24,Lbs,0.00%,0.55,0,0.55,0,2.20462,0,123,,0,,,,7.16,10/04/24,,7.16,0.00%,5,8/19/2024,Essential Oils
RM-Clary-Sage-Essential-Oil,Ingredient,A,39,,39,10/04/24,Lbs,0.00%,0,0,0,0,2.20462,0,1438,,0,,,,39,10/04/24,,39,0.00%,39,10/04/24,Essential Oils
RM-Bamboo-Frangrance-Oil,Ingredient,B,17.62,,17.8,10/04/24,Lbs,0.99%,0.08,0.08,0,0.08,2.20462,0,109,,0,,,,17.8,10/04/24,,17.6236,0.99%,17.8,10/04/24,Essential Oils
RM-Bergamot-Italian-Essential-Oil,Ingredient,C,15.48,,15.48,10/04/24,Lbs,0.00%,0,0,0,0,2.20462,0,542,,0,,,,15.48,10/04/24,,15.48,0.00%,15.48,10/04/24,Essential Oils
RM-Chamomile-Blue-Essential-Oil,Ingredient,C,4.56,,4.56,10/04/24,Lbs,0.00%,0.02,0,0.02,0,2.20462,0,101,,0,,,,4.56,10/04/24,,4.56,0.00%,4.56,10/04/24,Essential Oils
RM-Grapefruit-Pink-Essential-Oil,Ingredient,C,5.62,,5.64,10/04/24,Lbs,0.39%,0.01,0.01,0,0.01,2.20462,0,91,,0,,,,5.64,10/04/24,,5.618,0.39%,5.64,10/04/24,Essential Oils
RM-Lemongrass-Essential-Oil,Ingredient,C,38.76,,38.76,10/04/24,Lbs,0.00%,0,0,0,0,2.20462,0,407,,0,,,,38.76,10/04/24,,38.76,0.00%,38.76,10/04/24,Essential Oils
RM-Organic-Orange-Essential-Oil,Ingredient,C,33.4,,33.4,10/04/24,Lbs,0.00%,0,0,0,0,2.20462,0,353,,0,,,,33.4,10/04/24,,33.4,0.00%,33.4,10/04/24,Essential Oils
RM-Geranium-Egyptian-Essential-Oil,Ingredient,C,4.52,,4.52,10/04/24,Lbs,0.00%,0.22,0,0.22,0,2.20462,0,149,,0,,,,4.52,10/04/24,,4.52,0.00%,4.52,10/04/24,Essential Oils
RM-Argan-Oil,Ingredient,C,0.88,,0.9,10/04/24,Lbs,2.45%,0.01,0.01,0,0.01,2.20462,0,1,,0,,,,0.9,10/04/24,,0.878,2.45%,0.9,10/04/24,Essential Oils
RM-Olive-Essential-Oil,Ingredient,C,2.86,,2.86,10/04/24,Lbs,0.00%,0.1,0.09,0.01,0,2.20462,0,17,,0,,,,2.86,10/04/24,,2.86,0.00%,2.86,10/04/24,Essential Oils
RM-TA-JASMINE-VANILLA-NAT-FRAGRANCE-OIL,Ingredient,C,442,,442,10/04/24,oz,0.00%,0,0,0,0,33.814,0,87,,0,,,,442,10/04/24,,442,0.00%,442,10/04/24,Essential Oils
RM-Cashmere-Pear-Fragrance-Oil,Ingredient,A,14,,14,10/04/24,oz,0.00%,0,0,0,0,33.814,0,1,,0,,,,14,10/04/24,,14,0.00%,20,8/19/2024,Essential Oils
Essential Oil Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RM-ROSE-WATER,Ingredient,B,5.25,,5.25,10/04/24,Gal,0.00%,0,0,0,0,0.26417,0,863,,0,,,,5.25,10/04/24,,5.25,0.00%,5.25,10/04/24,Essential Oil Water
RM-TEA-TREE-WATER,Ingredient,C,19.51,,20.25,10/04/24,Gal,3.65%,2.8,2.8,0,2.8,0.26417,0,1865,,0,,,,20.25,10/04/24,,19.5103,3.65%,150,8/19/2024,Essential Oil Water
RM-CLARY-SAGE-WATER,Ingredient,B,7,,7,10/04/24,Gal,0.00%,0,0,0,0,0.26417,0,545,,0,,,,7,10/04/24,,7,0.00%,10,8/19/2024,Essential Oil Water
RM-Peppermint-Water,Ingredient,C,0,,0,10/04/24,Gal,0.00%,2.8,2.8,0,2.8,0.26417,0,0,,0,,,,0,10/04/24,,-0.7397,0.00%,0,10/04/24,Essential Oil Water
RM-EUCALYPTUS-WATER,Ingredient,B,5,,5,10/04/24,Gal,0.00%,0,0,0,0,0.26417,0,464,,0,,,,5,10/04/24,,5,0.00%,5,8/19/2024,Essential Oil Water
RM-SPEARMINT-WATER,Ingredient,B,4.5,,4.5,10/04/24,Gal,0.00%,0,0,0,0,0.26417,0,547,,0,,,,4.5,10/04/24,,4.5,0.00%,3,8/19/2024,Essential Oil Water
RM-LEMONGRASS-WATER,Ingredient,B,4.5,,4.5,10/04/24,Gal,0.00%,0,0,0,0,0.26417,0,418,,0,,,,4.5,10/04/24,,4.5,0.00%,5,8/19/2024,Essential Oil Water
Miscellaneous Ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RM-ISO-ALCOHOL-99,Ingredient,B,885,,885,10/04/24,Gal,0.00%,31.62,27.21,4.42,0,0.26417,0,1113,,0,,,,885,10/04/24,,885,0.00%,885,10/04/24,Miscellaneous Ingredients
RM-ISO-ALCOHOL-70,Ingredient,,0,,0,10/04/24,Gal,0.00%,0,0,0,0,0.26417,0,0,,0,,,,0,10/04/24,,0,0.00%,0,10/04/24,Miscellaneous Ingredients
RM-Licorice-Root-Extract,Ingredient,C,6.3,,6.52,10/04/24,Lbs,3.38%,0.1,0.1,0,0.1,2.20462,0,256,,0,,,,6.52,10/04/24,,6.2995,3.38%,6.52,10/04/24,Miscellaneous Ingredients
RM-Diheptyl-Succinate+Capryloyl-Glycerin/Sebacic-Acid Copolymer,Ingredient,C,0,,0,10/04/24,Lbs,0.00%,0.02,0.02,0,0.02,2.20462,0,0,,0,,,,0,10/04/24,,-0.0441,0.00%,0,10/04/24,Miscellaneous Ingredients
RM-Euxyl-PE-9010,Ingredient,C,7.8,,8,10/04/24,Lbs,2.48%,0.09,0.09,0,0.09,2.20462,0,64,,0,,,,8,10/04/24,,7.8016,2.48%,9,8/19/2024,Miscellaneous Ingredients
RM-SODIUM-LACTATE,Ingredient,B,115.17,,115.17,10/04/24,Lbs,0.00%,0,0,0,0,2.20462,0,267,,0,,,,115.17,10/04/24,,115.17,0.00%,58,8/19/2024,Miscellaneous Ingredients
RM-Butylene-Glycol,Ingredient,PLC-2024,520.65,,520.65,10/04/24,oz,0.00%,0,0,0,0,33.814,0,10,,0,,,,520.65,10/04/24,,520.65,0.00%,33,8/19/2024,Miscellaneous Ingredients
RM-Cycomethicone-6,Ingredient,PLC-2024,0,,0,10/04/24,lbs,0.00%,0,0,0,0,2.20462,0,0,,0,,,,0,10/04/24,,0,0.00%,35,8/19/2024,Miscellaneous Ingredients
RM-Glycerin,Ingredient,PLC-2024,89.32,,89.32,10/04/24,lbs,0.00%,0,0,0,0,2.20462,0,142,,0,,,,89.32,10/04/24,,89.32,0.00%,89.32,10/04/24,Miscellaneous Ingredients
RM-Acetylsalicylic-Acid,Ingredient,PLC-2024,3.7,,3.7,10/04/24,kg,0.00%,0,0,0,0,1,0,247,,0,,,,3.7,10/04/24,,3.7,0.00%,6.75,8/19/2024,Miscellaneous Ingredients
White Label Cosmetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WL-Crepey-Lotion-8oz-HS,White Label,A,75,,75,10/04/24,units,0.00%,0,0,0,0,1,0,180,,0,,,,75,10/04/24,,75,0.00%,120,8/19/2024,White Label Cosmetics
WL-Acne-Face-Cream-2oz-PLSF,White Label,A,5270,,"5,270.00",10/04/24,units,0.00%,0,0,0,0,1,0,14493,,0,,,,"5,270.00",10/04/24,,"5,270.00",0.00%,"5,270.00",10/04/24,White Label Cosmetics
WL-Acne-Face-Cream-2oz-Shay,White Label,A,123,,123,10/04/24,units,0.00%,0,0,0,0,1,0,216,,0,,,,123,10/04/24,,123,0.00%,123,10/04/24,White Label Cosmetics
WL-Scar-Cream-2oz-Shay,White Label,C,752,,752,10/04/24,units,0.00%,0,0,0,0,1,0,1233,,0,,,,752,10/04/24,,752,0.00%,120,8/19/2024,White Label Cosmetics
WL-Scar-Cream-2oz-PLSF,White Label,C,0,,0,10/04/24,units,0.00%,0,0,0,0,1,0,0,,0,,,,0,10/04/24,,0,0.00%,0,10/04/24,White Label Cosmetics
