BOM ID,TYPE,PHX Class,Theoretical QTY,Location,Cycle Count,Date Counted,UOM,Theo' x Actual Variance,Past 30 MO,Past 30 FO,Manufactured-Fulfilled,Received QTY After Actual Count (From Receiving Logs Only) (+),MFG After Actual (-),rank,,,,,,Theoretical QTY,Actual Count,Date Counted,WH Remarks,Variance,Random Count,Date Counted,Subtype
PCH-16oz-PS-Stndup-Matt,container/Pouch,,0,,,,units,0.00%,0,0,0,0,0,240,,,,,,0,,10/07/24,,0.00%,,10/07/24,Brand Name Pouches
PCH-24oz-PS-Stndup-Matt,container/Pouch,,"1,900.00",,"1,900.00",09/01/24,units,0.00%,0,0,0,0,0,117,,,,,,1900,300,10/07/24,,-533.33%,300,10/07/24,Brand Name Pouches
Bottles,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTL-2oz-Cosmo-White-20-410,Safety Shrink Band,C,"7,500.00",,"7,500.00",09/01/24,units,0.00%,0,0,0,0,0,240,,,,,,7500,"2,178.00",10/07/24,,-244.35%,"2,178.00",10/07/24,Bottles
BTL-4oz-Cosmo-White-24-410-HS,CM Packaging-Container,,0,,0,09/01/24,units,0.00%,0,0,0,0,0,206,,,,,,0,0,10/07/24,,0.00%,0,10/07/24,Bottles
BTL-4oz-Cosmo-White-20-410,Container/Pouch,B,"21,714.00",,"21,714.00",09/01/24,units,0.00%,3571,3560,11,0,4091,7,,,,,,17623,"15,477.00",10/07/24,,-40.30%,"15,477.00",10/07/24,Bottles
BTL-8oz-Cosmo-White-24-410,container/Pouch,C,"9,000.00",,"9,000.00",09/01/24,units,0.00%,80,80,0,0,80,46,,,,,,8920,"14,485.00",10/07/24,,37.87%,"14,485.00",10/07/24,Bottles
BTL-8oz-Cosmo-White-24-410-HS,CM Packaging-Container,A,0,,0,09/01/24,units,0.00%,0,0,0,0,0,240,,,,,,0,0,10/07/24,,0.00%,0,10/07/24,Bottles
Cylinder Bottles,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTL-4oz-Cylinder-Round-White-24-410,Container/Pouch,B,900,,900,09/01/24,units,0.00%,800,800,0,0,1912,29,,,,,,-1012,"4,617.00",10/07/24,,80.51%,"4,617.00",10/07/24,Cylinder Bottles
BTL-24-410-Cylinder-Round-8oz-White,Container/Pouch,A,"18,876.00",,"18,876.00",09/01/24,units,0.00%,12975,12872,103,0,14575,2,,,,,,4301,"8,780.00",10/07/24,,-114.99%,"8,780.00",10/07/24,Cylinder Bottles
Misc Bottles/Containers,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTL-2oz-Oval-Teardrop-White-20-410,Container/Pouch,,"24,515.00",,"24,515.00",09/01/24,units,0.00%,0,90,-90,0,0,114,,,,,,24515,"129,000.00",10/07/24,,81.00%,"129,000.00",10/07/24,Misc Bottles/Containers
BTL-16oz-Diamond-White-24-410,Container/Pouch,C,"2,953.00",,"2,953.00",09/01/24,units,0.00%,129,0,129,0,172,138,,,,,,2781,"2,820.00",10/07/24,,-4.72%,"2,820.00",10/07/24,Misc Bottles/Containers
1/2oz-Thick-Wall-Jar+Lid-Black,Container/Pouch,PLC-2024,432,,432,09/01/24,units,0.00%,0,0,0,0,0,103,,,,,,432,0,10/07/24,,-100.00%,0,10/07/24,Misc Bottles/Containers
BOX-TA-Cystic-Spot-Covalence,CM-Box,C,0,,0,09/01/24,units,0.00%,0,0,0,0,0,240,,,,,,0,0,10/07/24,,0.00%,0,10/07/24,Misc Bottles/Containers
