ASIN,iSKU,BOM ID,BOM Class,Component Type,Quantity (unit/kg/Liter),Material Unit Price,Per FG price,Status,
B08KDB2KQF,AY-Charcoal-To-Sparkle-Acne-Wash-8oz,LABL-AY-Charcoal-To-Sparkle-Acne-Wash-8oz-HS,Packaging,CM Packaging-Label,1,0.15,0.15,Active,
B08KDB2KQF,AY-Charcoal-To-Sparkle-Acne-Wash-8oz,LID-24-410-Disc-Top-White-HS,Packaging,CM Packaging-Top,1,0.07,0.06792,Active,
B08KDB2KQF,AY-Charcoal-To-Sparkle-Acne-Wash-8oz,CLEARECOBAG-7.5X10,Packaging,Eco Bags,1,0.08,0.0816,Active,
B08KDB2KQF,AY-Charcoal-To-Sparkle-Acne-Wash-8oz,AY-Charcoal-To-Sparkle-Acne-Wash-8oz-HS,Raw Material,Turnkey FG,1,2.41,2.41,Active,
B08JZFFBRM,AY-Clear-Sleep-Pillow-Mist-4oz,RM-PURIFIED-WATER,Raw Material,Ingredient,0.10403,0.26,0.02748,Active,
B08JZFFBRM,AY-Clear-Sleep-Pillow-Mist-4oz,RM-ISO-ALCOHOL-99,Raw Material,Ingredient,0.01022,0.73,0.00747,Active,
B08JZFFBRM,AY-Clear-Sleep-Pillow-Mist-4oz,RM-Cashmere-Pear-Fragrance-Oil,Raw Material,Ingredient,0.0005,81.83,0.04091,Active,
B08JZFFBRM,AY-Clear-Sleep-Pillow-Mist-4oz,RM-Aloe-Vera-Juice,Raw Material,Ingredient,0.00025,1.15,0.00029,Active,
B08JZFFBRM,AY-Clear-Sleep-Pillow-Mist-4oz,RM-TA-PEPPERMINT-ESSENTIAL-OIL-TMP,Raw Material,Ingredient,0.00006,70.95,0.00426,Active,
B08JZFFBRM,AY-Clear-Sleep-Pillow-Mist-4oz,RM-TA-LAVENDER-ESSENTIAL-OIL-TMP,Raw Material,Ingredient,0.00006,83.6,0.00502,Active,
B08JZFFBRM,AY-Clear-Sleep-Pillow-Mist-4oz,RM-TA-TEA-TREE-ESSENTIAL-OIL-TMP,Raw Material,Ingredient,0.00006,73.48,0.00441,Active,
B08JZFFBRM,AY-Clear-Sleep-Pillow-Mist-4oz,RM-Clary-Sage-Essential-Oil,Raw Material,Ingredient,0.00006,178.79,0.01073,Active,
B08JZFFBRM,AY-Clear-Sleep-Pillow-Mist-4oz,RM-Euxyl-PE-9010,Raw Material,Ingredient,0.00056,39.93,0.02236,Active,
B08JZFFBRM,AY-Clear-Sleep-Pillow-Mist-4oz,RM-Polysorbate-20,Raw Material,Ingredient,0.00218,13.2,0.02878,Active,
B08JZFFBRM,AY-Clear-Sleep-Pillow-Mist-4oz,BTL-4oz-Cosmo-White-20-410,Packaging,Container/Pouch,1,0.24,0.24,Active,
B08JZFFBRM,AY-Clear-Sleep-Pillow-Mist-4oz,LABL-TA-Pillow-Spray,Packaging,Label,1,0.18,0.18,Active,
B08JZFFBRM,AY-Clear-Sleep-Pillow-Mist-4oz,M1006CL-Dome-Shrink-Band 66X175,Packaging,Safety Shrink Band,1,0.09,0.0912,Active,
B08JZFFBRM,AY-Clear-Sleep-Pillow-Mist-4oz,SPRAY-MIST-20-410-White-5.5-NEW,Packaging,Top Cover,1,0.33,0.33292,Active,
