iSKU,Brand,PHX Class,Theoretical QTY,Location,Actual Count,Date Counted,UOM,Mfg After Date Counted (+),Received QTY After Actual Count (From Receiving Logs Only) (+),FO After Date Counted (-),FO After Date Counted (-) (FROM BUNDLES),IHF After Date Counted (-),Duplicate,ASIN,FBA VELOZ RANKING,Past 30 MO,Past 30 FO,Manufactured-Fulfilled,,Theo Count Static,Actual Count,Date Counted,Warehouse Remarks,Variance,,,,NOT IN WIR-FG,
NS-Stevia-Liquid-Drops-4oz,NatriSweet,C,55,,56,10/04/24,Units,0,0,0,0,1,,B0CVGJMWGJ,55,0,0,0,,,56,10/04/24,,1.79%,,,,,Stevia/Monk Fruit Liquid Bundles
NS-Stevia-Liquid-Drops-4oz-2pck,NatriSweet,B,81,,85,10/04/24,Units,0,0,0,0,4,,B0CVGHBWT8,81,400,400,0,,,85,10/04/24,,4.71%,,,,,Stevia/Monk Fruit Liquid Bundles
NS-Stevia-Liquid-Drops-8oz-2pck,NatriSweet,A,6,,8,10/04/24,Units,0,0,0,0,2,,B0CVH18ZD5,6,500,496,4,,,8,10/04/24,,25.00%,,,,,Stevia/Monk Fruit Liquid Bundles
BUNDLE-NS-Flav-Liq-Stev-Var-2oz,NatriSweet,C,3,03-Jan,3,10/04/24,Units,0,0,0,0,0,,B09KLZGNYZ,0,0,0,0,,,3,10/04/24,,0.00%,,,,,Stevia/Monk Fruit Liquid Bundles
BUNDLE-NS-Liq-Stev-Monkfruit-Var 8nz /2onz,natriSweet,,0,,0,10/04/24,Units,0,0,0,0,0,,,,0,0,0,,,0,10/04/24,,0.00%,,,,,Stevia/Monk Fruit Liquid Bundles
NS-Monkfruit-Stevia-Liquid-2oz-3pack,NatriSweet,C,0,,0,10/04/24,Units,0,0,0,0,0,,B0B7K7MRXL,0,0,0,0,,,0,10/04/24,,0.00%,,,,,Stevia/Monk Fruit Liquid Bundles
NS-Stevia-Liquid-Orgnl-2oz-3Pack,NatriSweet,C,10,,10,10/04/24,Units,0,0,0,0,0,,B08FRM9Y34,10,0,0,0,,,10,10/04/24,,0.00%,,,,,Stevia/Monk Fruit Liquid Bundles
Purisure Powders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS-Monk-Fruit-Extract-125g-Organic,Purisure,A,114,07-Mar,117,10/04/24,Units,0,0,0,0,3,,B07PMLB7SP,0,0,0,0,,,117,10/04/24,,2.56%,,,,,Purisure Powders
PS-Stevia-Powder-125g-Organic,Purisure,A,67,,69,10/04/24,Units,0,0,0,0,2,,B00LFSOSRM,67,0,0,0,,,69,10/04/24,,2.90%,,,,,Purisure Powders
